wishes, होगी,
Satyajit सत्यजीत
Ray सत्यजीत
exhibition प्रर्दशन
orris ओरिस
Like तरह
document दस्तावेज
Area फलन
1823. 1823
IVLP सीएसआर-2
pick आइए।
projected प्रक्षेपित
showcase रंगकर्मी
sum दाँतों
handwriting अंदाज़
dollar. डॉलर
dollars. डॉलर
dollar डॉलर
shatter ध्वस्त
entirely तरह
clue अलविदा
B.R.Chopra बी.
color. काला
clusters क्लस्टर
peeped झांक
eye, झांक
Australia's आस्ट्रेलिया
acreage रकबे
network जाल
Phosphorus फासफोरस
movement? मूवमेंट
Mujerabad, मुजेराबाद,
type तरह
appreciated. क्रेडिट
Ashfaq अशफाक,
befriended अशफाक,
seeds बीज
wriggle, तड़पना-तड़पाना
Jeeralu जुलते
agriculture)till कृषि)
agriculture). कृषि)
reforming संपन्‍न
study अध्ययन
forestry वानिकी
study. अध्ययन
Ajmer अजमेर
Ahuja. आहूजा
cleansing कन्जीलिंग
seed बीज
political राजनीतिक
unparalleled अद्वितीय
chained नादानों
heroine हीरोइन
seeds. बीज
organ अंग
carefully. कीजिए।
fifth पाँचवें
frog मेढक
colder ठण्डे
7 7
cereals अन्‍न
CID सीआईडी
(West (पश्चिम
brought लाई
Seed बीज
procurement संपन्‍न
mixtures ईट
aspects पहलू
Canada कनाड़ा
Bhantaful हिरंजन
Hiranjan हिरंजन
Manhu. जुलते
Karif तरह
Sarafraj, सरफराज़!
cover आंचल
Except कनाड़ा
seed. बीज
D.D.T डी०डी०टी०
Tuberose ट्यूबरोज़
periodic समयबद्ध
Chickpea चने
chickpea. चने
device. नपना)
Talentube.com टैलेंट्यूब
Bazar, मिलें।
master मालिक
pulse पथ्य
Rockstar रॉकस्टार'
seasoning छौंकने,
aspect पहलू
examined परखी।
16.7% 16.7%
1973 1973)
Hardayal? हरदयाल
27 27
worlds 27
flood, मारी
conference संगोष्‍ठी
Imran, इमरान,
flowers. फलिया
marrying रहोगी,
Madhubala's हीरोइन
oceanic सागरीय
rats चूहे
intermittently पक्षेती
Deol देवल
kidney मूँग
Himalaya हिमालिया
Russian रूसी
portrayed. चित्रित
hill, चलें?
Mulberry mulberry
herbal हर्बल
owner मालिक
Kottayam, कोटटायम्,
herb हर्बल
killers हत्यारे
sunny ठण्डे
commissioner. हँ?
insecticides दवाइयों
an आखिरकार
loss. समबन्धी
cover. समाविष्‍ट
foster मुनासिब
eb बढ़ाया
out, फलन
respect. तरह
bird बींट,
Thus, तरह
kilometers. किलोमीटर
seventh दसक
wriggle तड़पने
7th 7
soft. भुरभुरी
ways, तरह
always हमेशा
canals, ढेंकली
way, तरह
reformation. पहलू
pointed नुकीले
states? राज्यों
composted कम्पोस्टिंग
H.S. डॉ.एचएस
aspect. पहलू
khanam's रहोगी,
passes आंचल
95 95
Mysore. मैसूर
pesticides दवाइयों
suicides आत्महत्याओं
Mysore मैसूर
jaggery. कीजिए।
increasing. सप्लाई
time-bound समयबद्ध
sir? सर?
Sir, मालिक
classical शास्त्रीय
49381 49381
pharmaceuticals दवाइयों
administration प्रशासन
Two द्विवर्षी-
Anuradha अनुराधा
pleasing खिलौना
286 286
cumulative संचयी
Tug `टग
Forest वानिकी
very अत्यंत
quit देनेवाला
rubbish बकवास
Nachle. नच
extremely अत्यंत
groundnuts मूँग
desert. मरूक्षेत्र
saver जीवनदायिनी
lactiferous दूधिया
forestry. वानिकी
songs, नाटिकायें
lectures, व्याख्यानमाला
NO मालिक
context. सन्दर्भ
songs गीत
someone कहो
administration. प्रशासन
eminent गौरवशाली
Shahdara शाहदारा
wrangle तकरार
talking? बकवास
widely तादात
supplied सप्लाई
instability अनिश्‍चितताओं
tremendous जबरदस्त
kilometer किलोमीटर
elevation. उत्थान
be, ऐसी-ऐसी
bloodshed? बुरे
next अगले
Polish पोलिश
Todharmal कच्चा-चिठ्ठा
essential. अत्यंत
phenomenal तरक्‍की
extensive. बातचीतों
Secondly, तरफ,
definitely अवश्य
their उनकी
levels स्तरों
Padmavati. पद्मावती।
man. आखिरकार
facet पहलू
brittle भुरभुरी
admitting गंभीरता
administrative प्रशासन
k.m किलोमीटर
2880 पाँचवें
Heeralal हीरालाल
his उनकी
difference फर्क
manifold. बढ़ाया
decide पक्की
tele टेली
organs सुचारूरूप
number. नम्बर
Vajpayi बाजपेयी
renowned बिज़नेसमैन
bottles बोतल
must अवश्य
dignified गौरवशाली
activity गतिविधि
Make समझाइये
continued. आत्महत्याओं
north-south. तरफ,
Saline खारे
Their उनकी
seeded. बीज
saline खारे
147 147
palanquin बेटा।
summer. ग्रीष्म
position. अत्यंत
controlling मैंकोजेब
loose भुरभुरी
goats. बकरियां
prevented सकें।
Imran. इमरान।
street. गली
crumbly भुरभुरी
okay जब-जब
regressive 'गतिहीनता
joints चौपाल
Actually, एक्चुली,
intensification इंटेंसीफिकेशन
grains, साथ,
Nambiyar नांबियार
Exploitation नारी
broke पिस
communal सांप्रदायिक
reflected लहजे
Eighth आठवीं
Sita सीता
conference, संगोष्‍ठी
Soft भुरभुरी
dyslexia. तकलीफें
425 425
Always हमेशा
S.K., एस.के.!
Intensification इंटेंसीफिकेशन
separator विभाजक
enforced 2012
2012. 2012
His उनकी
speed गति
Soil ग्रीष्म
2012 2012
strangling उलझता
system प्रणाली:-
isn't फर्क
resolve दुस्साध्य
happened हुआ?
rice, साथ,
ultraviolet अल्ट्रावाइलेट
violet अल्ट्रावाइलेट
congress कांग्रेस
True, सच!
breeding प्रजनन
council परिषद्
Govardhan गोवर्धन
Adhyayan अध्ययन
horticulture, साथ,
bridge पुल
Eventually, आखिरकार
bitter कटु
Radhe राधे
dam बाँध
search ढुंढ़वाया।
saved. दुहरा
tying बाँध
MMTC, नोडल
Mongol मंगोल
poisonous. तेलिया
long लम्बी
camera. साफ़
deeply. स्पर्श
Despichiana डेस्पीचियाना
twenties 27
Like भाँति
scenes मंज़र
celluloid सेल्युलाइड
perennial बेलदार
creepery बेलदार
commission आयोग
comission आयोग
commission. आयोग
expression शेर
camp. कैंप
Amitabh अमिताभ
Long लम्बी
Edible चटनी,
humans भाँति
crumbly. भुरभुरी
please प्लीज
poem. शेर
board आयोग
Please प्लीज
projects परियोजनाएं
impractical अव्यावहारिक
O. ग्रटिसिमम
Gratissimum ग्रटिसिमम
romanticism. 'छायावाद'
cumin जीरे
weathers. ग्रीष्म
Rajasthan राजस्थान
cone. बोतल
management, प्रबंधन,
angle बड़ा-सा
States राजस्थान
sauces, चटनी,
Samiti समित्यों
intact उपजशक्‍ति
scarcity कमी
queen रानी
formed, तरफ,
smashed मसला
Rajasthan. राजस्थान
chutney, चटनी,
destruction विनाश
absence अनुपस्थिति
oranges संतरे
hopeless, बेज़ार
Making उन्मुक्त
elements वस्तुएं
visualized. फर्क
motion गति
cultures, बना,
multiplication गुणन
multiplicity गुणन
Sudheer सुधीर
lack कमी
lacks कमी
reduction कमी
Mughal मुगलिया
number पनपते
weft ताना
globalization. ग्लोबीकरण
dropped झुकी
reproduction प्रजनन
same. वैसा
journalist, मदनमोहन
eggs अंडे
hunt हंट
lays अंडे
salty खारे
Buddhism, लेकर,
company कम्पनी
beating. कूटने
requested आग्रह
Classical शास्त्रीय
000 52000
polu-fleas भृंग
jasmine चमेली
Jasmine चमेली
absence कमी
production-India कमी
wife. बीवी
Ranbeer रणबीर
partition विभाजन
cow-buffalo, भेंड-बकरी,
Rani रानी
Shilpa शिल्पा
line ज्यों-ज्यों
house? था?
workshops अनुसन्धानशालायें
store. दुकान
vivid. विशद
shop दुकान
rich सम्पन्‍न
worth मोल?
Average उत्पाद:
comprehensive विशद
say कह
breeding अनुकूलता
perspective दृष्‍टिकोण
hostel उठने
Bangladesh बांग्लादेश
company. कम्पनी
Habib, हबीब!
Areas उनकी
writers, अदाकार,
technologies. इए
phas लादेन',
councils. परिषदों
Company कम्पनी
edible भोज्य
gulkand गुलकंद
harmonious सामंजस्यपूर्ण
happy, ऐश
tilled प्रणाली:-
Rani's रानी
Ivzenia इवजेनिया
request आग्रह
issues विशेषांक
second-third दूसरी-तीसरी
Lieutenant लेफ्टिनेंट
J.P.S जेपीएस
Beautiful ब्युटी
adopting Systems)
weeds पनपते
9520 9520
greatly विभाजन
first पहला
wish चाहते
disclosed. भांडा
restricted दुग्धशालाओं
pass बोला
erased. नम्बर
breding प्रजनन
duly यथावत
perspective. दृष्‍टिकोण
sage. गैरउपयोगी
time? हुआ?
showcase जबरदस्त
groom वर
obedience. फरमाबर्दाई
destruction. विनाश
Rani. रानी
absolute. एब्सलूट
Her उनकी
Congress कांग्रेसी
insect(sunda)attacks भाँति
news, ख़बरों
long, लम्बी
saying कह
them. लूँगी।
Monopoly एकाधिकारी
old, सठिया
corresponding बदलनी
Sudhir सुधीर
Outside बिलोचिस्तान
tropical उपोष्ण
initial शुरुआती
Tushar अदाकार
ailments पित्त
55000 220000
escaped? था?
promotion 'प्रमोशन'
Jash बचपन'
gist निचोड़
want चाहते
subtropical उपोष्ण
Kifire किफिरे
comeback कमबैक
Abohar भिवानी
calcareous केलकेरियस
Padma 'पदम्
First पहला
other. चाहते
Education. माध्यमिक
Woman नारी
Appointment प्रशिक्षित
trained प्रशिक्षित
twofold दोगुने
Southern दक्षिणअमरीका
America दक्षिणअमरीका
pace, गति
trained. प्रशिक्षित
bothered पड़ी
nutritious भोज्य
complaint. कम्प्लेन।
satisfactory. दौजियों
rubber रबर
protein प्रोटीन
telling कह
filth गंदगी
psuedomonas (बैक्टीरिया)
solenesiarum. (बैक्टीरिया)
superior बदलने,
crop-livestock-fishing फसल-पशुधन-मत्स्य
nutshell नाचीज
protein. प्रोटीन
quality. संलग्न
harming सीधे-सीधे
islands. यथासंभव,
FTA एफटीए
regard मामले
spirit. जोश
also? पड़ी
Pandit छ्त्तीस
opens. खुलते
I हम
mint पुदीने
we हम
despite तमाम
Folk लोकनाटक
Kajol's काजोल
Kurukshetra's कुरुक्षेत्र
cultivation, बदलने,
lavender लेवेन्डर
pages पृष्‍ठों
bridge. पुल
stone. पथरी
We हम
thing सच्ची
ways. तमाम
ambeliferry अम्बेलीफेरी
Ayurveda आयुर्वेद
Put पहला
Abhay अभय
All तमाम
crime. कत्ल
Kajol काजोल
thumri ठुमरी,
happened? हुआ?
match मैच
scenarios परिदृश्यों
landlords जमींदार
16 16
Bhabhi भाभी।
cried भाभी।
20.1 20.1%
match, मैच
landlord जमींदार
shop. दुकान
inhabitants. स्पेनवासियों
worry फिक्र
breathing, तकलीफ
true सच्ची
managers तरीक़े
absolutely एकदम
wages. स्वामियों
Sohrab सोहराब
Eating रोज
know पहचानते
rule, चकबंदी
policy नीति,
zamindar. जमींदार
first. मिलूँगा,
inputs आदान
Utera. उतेरा
utera उतेरा
manure, इकटठा
Aryan आर्य
Atlanta अटलांटा
water. उपयोगार्थ
case मामले
write तहत
prompts नचदे
Amblyferi अम्बेलीफेरी
wash लूँगी।
breaths, तलवे
tell हम
mint. पुदीने
committee कमेटी
pits खोद
trouble तकलीफ
missed. कमी
preferred. चयन
thinks 2009
owners. स्वामियों
pit गड्ढे
responsibilities उतारकर
frieghtning खौफनाक
under तहत
Daily रोज
ahead. पहचानते
wanted चाहते
columnist स्तंभकार
there, लूँगी।
state राज्य-गृह
partners तरीक़े
fact सत्यता
Mainly मुख्यतयः
home राज्य-गृह
technique विधि
murdered कत्ल
yours. दुकान
films फ़िल्में
Satyavadi सत्यवादी
Editor संपादक
seven सात
ways विधि
shop, दुकान
Under तहत
October-February (कार्तिक
fertility उर्वरता
laces तकलीफ
ex-congress कांग्रेसी
message. कामेडी
Congeress कांग्रेसी
metal कोठिला
respect मामले
traditions. प्रथाओं
Tripura त्रिपुरा,
axis धुरी
pits गड्ढे
fights-quarrels लड़ाई-झगड़े
Sharma. (इरफान
Abba. समाए
I मुझे
Using तहत
bacterial जीवाणुजनित
selection चयन
39.28 39.28
lylos लाइलोस
store कोठिला
professors प्रोफेसरों
professors. प्रोफेसरों
temperature तापमान
career कैरियर
process विधि
Starting कैरियर
Khol 'खोल
external बांका
select चयन
washed बह
grains अनाज
grain अनाज
Everybody चाहते
brother? भई?
movies फ़िल्में
films. फ़िल्में
prayers प्रार्थना
perfume. परप्यूम
process. विधि
categorized वर्गीकृत
method. विधि
method विधि
Pulao, तहूत
fight? वालो
Goes रोज
unwanted उखाड़कर
desert, मरुमूमि
registered निबंधित
2009 2009
National राष्ट्रीय
point दृष्‍टि
so? देती,
makeup. मेक‍अप
wobble. कदमों
contain प्रकोष्टक
Khua खुआ
colonies कालोनियों
me मुझे
force. फोर्स
7% सात
master's जूती
rotten, मोल?
shoe. जूती
useless. मोल?
grains. अनाज
vegetarian. शाकाहारी
perspective दृष्‍टि
worshiping विसर्जन
frogs, मेढक,
Protein प्रोटीन
measures. मामले
national राष्ट्रीय
60-70 60-70
garnished सजाते
B.T. बी०टी०टी०
best श्रेष्‍ठ
2009. 2009
Khosla 'खोसला
crucial ऐन
cells कोशिकायें
soil-strata भूस्तरी
veg शाकाहारी
vegetarian शाकाहारी
Manmohan मनमोहन
covers प्रकोष्टक
that, एकदम
Bay उठी
urged आह्वान
Chandigarh चण्डीगढ़
fabric कपड़ा
plants वनस्पतियाँ
Loreal लॉरियल
shed. बह
Bhutnath(1907-1913)- भूतनाथ
perspective. दृष्‍टि
wasted. आंधी-पानी
within अंदर
impossible. जाएँ,
fans. कलाकारों,
garment कपड़ा
Organics आर्गेनिक्स
alone? करूंगी?
blood. रक्त
temperature. तापमान
Lyallpur ल्यालपुर
invoked आह्वान
upright. उठी
me, हम
knotty. गांठदार
insecure जोखिमभरी
role. अहम्
green हरा
post पद
khabardar मैग्ज़ीन,
addition वर्धन
Indira इंदिरा
cereal खाद्दान्न
fertility, उर्वरता
happy मुझे
stuffs. ट्रेक्टर
ice थैली
Grains अनाज
Grain अनाज
itching खुजली
irrigation. सिचाई
culture, संबधित
inside अंदर
process प्रक्रिया
cutters. दराँतों
Direct. डीडी
method, विधि
perspectives दृष्‍टि
rosha पुकारते
grain. अनाज
remain, रहूँगा।
Jat जट
Jat. जट
process. प्रक्रिया
first पहला,
Maya, सच्ची
lectures व्याख्यान
while पहला,
lecture व्याख्यान
establishing प्रक्रिया
suspicion 'बीज
General जनरल
religions धर्मों
finals, सेमीफाइनल्स
finals सेमीफाइनल्स
mind, एक-सी
based. वनस्पतियाँ
integral अभिन्न
unconscious मक्खियाँ,
cautioned आगाह
Asian एशियाई
viewpoint दृष्‍टि
Singapore सिंगापुर
addition जोड़कर
mud. गीली
adding जोड़कर
1923 1923
literature. साहित्य
encouragement. बढ़ावा
kinds अनाज,फलों
new-colonization नव-औपनिवेशिक
bean ज्वार
dilwale हें।
sorghum ज्वार
maize ज्वार
write लिखने
decomposed. सड़ाव
launched बढ़ावा
Crop फसलोत्पादन
mom. मॉम।
present मौजूद
consists दुकानों
already मौजूद
encourage बढ़ावा
encouraging बढ़ावा
scleroshium "स्कलेरोशियम"
oats ज्वार
(SHG) (एस
Bhagat भगतसिंह
generalization साधारणीकरण
godowns गोदामों
you तुम्हें
sown करें।
powder( Meal
preference पहला,
kms किमी
Sabaur(Bihar), (बिहार),
gained फसलोत्पादन
clear स्पष्‍ट
wants, चाहें,
accounts. खाते
energetic ओजस्वी
dose ख़ुराक़
inside. अंदर
selling बेच
specif पूर्ण-क्षति
clear. स्पष्‍ट
alive ज़िंदा
Cultura land
Ranveer रणवीर
class, ममा,
decreased कर्जे
making तेज़ी
labor श्रम
me. मुझे
poor. फीका
promoted. बढ़ावा
proves स्पष्‍ट
cluster ज्वार
efficiency. मितव्ययता
eating खाते
356 356
backward पिछड़ी
eaten खाते
eat खाते
immersed. विसर्जन
energetic. ओजस्वी
encouraged. बढ़ावा
promote बढ़ावा
arrange बोलो
weeding निराई
oxcart बैल-ठेला
soap साबुन
Hockey हॉकी
hockey हॉकी
separate तुम्हें
Playing हॉकी
Danube डैन्यूब
Adding वर्धन
Stay बस!
during फसल
identifies पहचानते
sowing फसल
next फसल
Gandhi. चंगुल
musician. म्यूजीशियन
Sigmund सिग्मण्ड
shops दुकानों
m मीटर
stores दुकानों
shops. दुकानों
vulgaris वल्गरिस
translating. प्रवृत्ति
anniversary स्मरणवर्ष
Madhya मध्यप्रदेश
labor. श्रम
crops. फसल
tweeter ट्विटर
could सकेगा
survive. निर्वाह
crops फसल
Swastik सिनेमा'
heap इकट्ठी
Pierce लियोनार्डो
new नई
granaries गोदामों
Coordination समन्वयन
square वर्गमीटर
crop फसल
crop. फसल
overall समग्र
6-7 6-7
lady. सती
ASSOCHAM एसोचैम
varieties प्रजातियों
agency. एजेंसी
New नई
Micro-irrigation माइक्रो-इरीगेशन
Micro-Irrigation माइक्रो-इरीगेशन
fee-rent. शुल्क-किराए
mandatory अनिवार्य
species प्रजातियों
blurred वर्णचित्ती
lead सकेगा
regulations. व्यापर
cash कैश
markets, प्रक्रिया
Sorghum ज्वार
Cluster ज्वार
wars जंगो
meter मीटर
Dada दादा
year's मौजूद
occupied कोल्हापुर
0.60 0.60
rapidly तेज़ी
regions पाती
abdicated ग्यारह
eleven ग्यारह
jowar. ज्वार
You तुम्हें
Gossypium गौसीपियम
barsim, बरसीम,
less पाती
dada दादा
wing दामन
literature साहित्य
Crop फसल
company कंपनी
excess दशाएं
women महिलाओं
permitted आज्ञा
Nadiya नाडिया
box. हट
bricks गीली
satisfied. संतुष्‍ट
burnt-cut जले-कटे
women. महिलाओं
Women महिलाओं
remained रहे।
Clearly स्पष्‍ट
tasteless. फीका
prickles तारों
Soth. बनायी
fourth चौथाई
bear पाती
commissioner कमिश्नर
bad, फैंसला
transparently. अविवादित
one-fourth चौथाई
dull. फीका
First, पहला,
hectares हेक्टेयर
Tatiyana ततियाना
plucked तोड़
Pali, पाली!
go. जाना।
mosquitoes. मच्छरों
laborers श्रमिक
structures स्वरूपों
synonymous. पर्यायवाची
tell. बैठा।
sufi सूफी
inseparable अभिन्न
undertaken होकर,
auditing अंकेक्षण
hectare हेक्टेयर
Later रहे।
-Dilip त्रिदेवों-दिलीप
1 चौथाई
adaptation रूपांतरण
amount. चुकाने
enemy. दुश्‍मन
residential भवन,
reared पालन-पोषण
friendship, लाई।
1.51 1.51
representatives प्रतिनिधियों
Amritsar अमृतसर
senior वरिष्‍ठ
hectare. हेक्टेयर
Bizongu डीजोन्गू
conditions दशाएं
